text;success;reference;tags
trinta e quatro mil e cem reais;True;D3 U4 THOUSAND C1 cBRL;D3 U4 THOUSAND C1 cBRL
duzentos e vinte reais;True;C2 D2 cBRL;C2 D2 cBRL
um mil trezentos e dezessete reais;True;U1 THOUSAND C3 D1 U7 cBRL;U1 THOUSAND C3 D1 U7 cBRL
quarenta e sete centavos;True;Y4 Z7 cBRL;Y4 Z7 cBRL
vinte reais e doze centavos;True;D2 cBRL Y1 Z2;D2 cBRL Y1 Z2
oito reais e cinquenta centavos;True;U8 cBRL Y5;U8 cBRL Y5
mil quinhentos e doze reais;False;THOUSAND C5 D1 U2 cBRL;C5 D1 U2 cBRL
nove reais e dezenove centavos;True;U9 cBRL Y1 Z9;U9 cBRL Y1 Z9
quatrocentos e cinquenta reais;True;C4 D5 cBRL;C4 D5 cBRL
quinze reais e dezesseis centavos;True;D1 U5 cBRL Y1 Z6;D1 U5 cBRL Y1 Z6
trinta e três mil novecentos e sessenta reais;True;D3 U3 THOUSAND C9 D6 cBRL;D3 U3 THOUSAND C9 D6 cBRL
quarenta mil e oitocentos reais;True;D4 THOUSAND C8 cBRL;D4 THOUSAND C8 cBRL
cinco mil quatrocentos e dezenove reais;True;U5 THOUSAND C4 D1 U9 cBRL;U5 THOUSAND C4 D1 U9 cBRL
três mil seiscentos e dezoito reais;True;U3 THOUSAND C6 D1 U8 cBRL;U3 THOUSAND C6 D1 U8 cBRL
quinhentos e quinze reais;True;C5 D1 U5 cBRL;C5 D1 U5 cBRL
seis mil seiscentos e doze reais;True;U6 THOUSAND C6 D1 U2 cBRL;U6 THOUSAND C6 D1 U2 cBRL
noventa e três reais;True;D9 U3 cBRL;D9 U3 cBRL
seis mil trezentos e dezesseis reais;True;U6 THOUSAND C3 D1 U6 cBRL;U6 THOUSAND C3 D1 U6 cBRL
cento e setenta e seis reais;True;C1 D7 U6 cBRL;C1 D7 U6 cBRL
onze mil e cem;False;D1 U1 THOUSAND C1 cBRL;X1
setenta e nove reais;True;D7 U9 cBRL;D7 U9 cBRL
