text;success;reference;tags
sierra mike tango delta whiskey uniform;True;S M T D W U;S M T D W U
one yankee four quebec charlie alpha;True;1 Y 4 Q C A;1 Y 4 Q C A
dee wy i vee em jay;False;D Y I V M J;
ar ex cee jay a jay;False;R X C J A J;
a eight jay three seven cue;False;A 8 J 3 7 Q;3 7
jay ar a eight zee pee;False;J R A 8 Z P;8
u wy zero aitch e tee;False;U Y 0 H E T;0
eight double u aitch nine em jay;False;8 W H 9 M J;
tango eight zulu four yankee echo;True;T 8 Z 4 Y E;T 8 Z 4 Y E
x-ray yankee four three quebec delta;True;X Y 4 3 Q D;X Y 4 3 Q D
lima bravo sierra two six five;True;L B S 2 6 5;L B S 2 6 5
whiskey alpha six seven four one;True;W A 6 7 4 1;W A 6 7 4 1
six a o a bee em;False;6 A O A B M;6
zulu india november romeo x-ray five;True;Z I N R X 5;Z I N R X 5
juliett lima hotel seven echo charlie;True;J L H 7 E C;J L H 7 E C
alpha romeo charlie kilo nine x-ray;True;A R C K 9 X;A R C K 9 X
three double u em ex pee double u;False;3 W M X P W;3
ar pee ex ar zero gee;False;R P X R 0 G;0
five double u cee two bee kay;False;5 W C 2 B K;
a wy kay nine one three;False;A Y K 9 1 3;9 1 3
zero nine i bee em o;False;0 9 I B M O;0 9
juliett yankee three oh hotel juliett;False;J Y 3 0 H J;
two hotel quebec three delta charlie;True;2 H Q 3 D C;2 H Q 3 D C
oh two november delta india victor;False;0 2 N D I V;2 N D I V
hotel kilo november one zero kilo;True;H K N 1 0 K;H K N 1 0 K
bee two four double u cue kay;False;B 2 4 W Q K;2 4
whiskey november golf uniform romeo four;True;W N G U R 4;W N G U R 4
mike x-ray one eight mike mike;True;M X 1 8 M M;M X 1 8 M M
bee tee i double u zero four;False;B T I W 0 4;0 4
ef bee pee zee nine double u;False;F B P Z 9 W;9
ex zero i ess seven one;False;X 0 I S 7 1;7 1
four cue vee en gee zero;False;4 Q V N G 0;
double u a el vee ess o;False;W A L V S O;
el two kay seven aitch nine;False;L 2 K 7 H 9;9
papa tango india whiskey golf whiskey seven;True;P T I W G W 7;P T I W G W 7
golf eight charlie delta eight seven;True;G 8 C D 8 7;G 8 C D 8 7
tango bravo quebec kilo nine eight;True;T B Q K 9 8;T B Q K 9 8
november oscar alpha tango juliett charlie oh;False;N O A T J C 0;N O A T J C
em tee e en e one;False;M T E N E 1;1
sierra sierra sierra one lima sierra;True;S S S 1 L S;S S S 1 L S
x-ray three one oscar lima eight;True;X 3 1 O L 8;X 3 1 O L 8
lima four x-ray quebec three whiskey;True;L 4 X Q 3 W;L 4 X Q 3 W
six em pee ef ess ess;False;6 M P F S S;6
cue a aitch ess oh ef;False;Q A H S 0 F;
nine cee five pee three ex;False;9 C 5 P 3 X;3
ex double u cee one two en;False;X W C 1 2 N;1 2
o three el a gee el;False;O 3 L A G L;3
india november november november two november;True;I N N N 2 N;I N N N 2 N
echo mike kilo mike seven delta;True;E M K M 7 D;E M K M 7 D
echo victor echo whiskey papa four;True;E V E W P 4;E V E W P 4
two whiskey juliett india papa three;True;2 W J I P 3;2 W J I P 3
a cee u a el em;False;A C U A L M;
