text;success;reference;tags
jamais caramba;False;false;
exato caralho;False;true;
não desgraça;False;false;
sim porra;False;true;
claro;False;true;
claro claro;False;true;
perfeito;False;true;
já sim;False;true;
tá errado;False;false;
tá incorreto;False;false;
concordo;False;true;
jamais;False;false;
certinho;False;true;
sim por favor;True;true;true
tá errado porra;False;false;
oquei por favor;True;true;true
não desgraça;False;false;
de acordo;True;true;true
afirmativo;True;true;true
correto por favor;True;true;true
correto por favor;True;true;true
exato;False;true;
não;True;false;false
oquei obrigado;False;true;
negativo;True;false;false
afirmativo;True;true;true
certo por favor;True;true;true
exatamente;False;true;
sim sim por favor;True;true;true
por favor sim;True;true;true
correto;True;true;true
pois negativo;True;false;false
de acordo obrigado;False;true;
sim sim sim;True;true;true
não não não;True;false;false
negativo;True;false;false
sim obrigado;False;true;
não obrigado;False;false;
pois sim;True;true;true
não não não obrigado;False;false;
não não não não não caramba;False;false;
sim sim sim por favor;True;true;true
não não não obrigado;False;false;
sim;True;true;true
não não;True;false;false
afirmativo obrigado;False;true;
por favor sim;True;true;true
negativo;True;false;false
não não não não não;True;false;false
de acordo;True;true;true
oquei;True;true;true
por favor sim;True;true;true
sim sim sim sim por favor;True;true;true
pois sim por favor;True;true;true
sim sim;True;true;true
pois sim;True;true;true
afirmativo obrigado;False;true;
de acordo por favor;True;true;true
tá oquei;False;true;
de acordo;True;true;true
pois sim sim obrigado;False;true;
sim;True;true;true
não;True;false;false
não;True;false;false
sim;True;true;true
sim;True;true;true
sim;True;true;true
não;True;false;false
não;True;false;false
sim;True;true;true
não;True;false;false
não;True;false;false
sim;True;true;true
sim;True;true;true
sim;True;true;true
sim;True;true;true
não;True;false;false
sim;True;true;true
sim;True;true;true
não não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
sim nasci no brasil;False;true;
não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
sim;True;true;true
sim;True;true;true
não;True;false;false
sim;True;true;true
sim;True;true;true
sim;True;true;true
não;True;false;false
não;True;false;false
não não;True;false;false
não;True;false;false
não;True;false;false
não;True;false;false
não;True;false;false
não;True;false;false
não;True;false;false
não não;True;false;false
sim;True;true;true
sim;True;true;true
não;True;false;false
sim;True;true;true
sim;True;true;true
não;True;false;false
não não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
não;True;false;false
sim;True;true;true
não;True;false;false
não;True;false;false
não;True;false;false
não;True;false;false
não;True;false;false
sim;True;true;true
sim;True;true;true
não;True;false;false
não não;True;false;false
não;True;false;false
sim;True;true;true
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
sim;True;true;true
sim;True;true;true
não;True;false;false
não;True;false;false
não;True;false;false
sim;True;true;true
sim;True;true;true
sim;True;true;true
não;True;false;false
sim;True;true;true
sim;True;true;true
não;True;false;false
sim;True;true;true
não;True;false;false
sim;True;true;true
