text;success;reference;tags
pê dê cinco cinco três nove meia sete sete dois;False;P D U5 U5 U3 U9 U6 U7 U7 U2;U5 U5 U3 U9 U6 U7 U7 U2
dois cinco dois gê quatrocentos e quatro tê;False;U2 U5 U2 G C4 U4 T;C400 E U4
cento e oito cento e cinco três três dois bê;False;C1 U8 C1 U5 U3 U3 U2 B;C1 U8 C1 U5 U3 U3 U2
cê á dezoito trinta e três bê quatrocentos e um;False;C A D1 U8 D3 U3 B C4 U1;C400 E U1
cá trinta e três quatro meia dois cinco á;False;K D3 U3 U4 U6 U2 U5 A;D3 U3 U4 U6 U2 U5 A
jota á três quatro vinte e dois bê bê;False;J A U3 U4 D2 U2 B B;A U3 U4 D2 U2
efe duzentos e cinquenta agá três três dois;False;F C2 D5 H U3 U3 U2;U3 U3 U2
dê é quatro cinco trezentos e dois bê;False;D E U4 U5 C3 U2 B;E U4 U5 C300 E U2
dáblio dáblio esse oito cinco zero ó i nove três;False;W W S U8 U5 U0 O I U9 U3;U8 U5 U0 O I U9 U3
á trezentos e vinte bê dois quatro cê;False;A C3 D2 B U2 U4 C;U2 U4
um dois três eme i ele agá á esse;False;U1 U2 U3 M I L H A S;A
pê erre ó gê nove um cinco;False;P R O G U9 U1 U5;U9 U1 U5
ele ó gê i tê é cê agá gê dois quatro zero xis ele;False;L O G I T E C H G U2 U4 U0 X L;U2 U4 U0
i pê agá ó ene é um dois eme pê;False;I P H O N E U1 U2 M P;E U1 U2
a pê pê ele é esse oito;False;A P P L E S U8;U8
i ô esse quatro gê;False;I O S U4 G;
i ene tê ê ele i sete;False;I N T E L I U7;I U7
eme ó tê ó gê nove;False;M O T O G U9;U9
esse dois dois eme dois dois cinco gê;False;S U2 U2 M U2 U2 U5 G;U2 U2 U5
bê eme dáblio um cinco sete i;False;B M W U1 U5 U7 I;U1 U5 U7 I
efe ó erre dê um nove dois zero;False;F O R D U1 U9 U2 U0;U1 U9 U2 U0
agá bê dois zero;False;H B U2 U0;U2 U0
cê ó dois;False;C O U2;O U2
bê um bê dois zê i ene cê ó;False;B U1 B U2 Z I N C O;
cá nove ele dois oito zê;False;K U9 L U2 U8 Z;U2 U8
meia nove cinco três quatro sete dois um zero oito;True;U6 U9 U5 U3 U4 U7 U2 U1 U0 U8;U6 U9 U5 U3 U4 U7 U2 U1 U0 U8
sete oito quatro um nove três cinco zero dois meia;True;U7 U8 U4 U1 U9 U3 U5 U0 U2 U6;U7 U8 U4 U1 U9 U3 U5 U0 U2 U6
sete nove sete três meia zero cinco nove nove três dois oito um dois oito quatro;True;U7 U9 U7 U3 U6 U0 U5 U9 U9 U3 U2 U8 U1 U2 U8 U4;U7 U9 U7 U3 U6 U0 U5 U9 U9 U3 U2 U8 U1 U2 U8 U4
