text;success;reference;tags
um dois três eme i ele agá á esse;False;U1  U2  U3  M I L H A S;
pê erre ó gê nove um cinco;False;P R O G U9  U1  U5;
ele ó gê i tê é cê agá gê dois quatro zero xis ele;False;L O G I T E C H G U2  U4  U0 X L;
i pê agá ó ene é um dois eme pê;False;I P H O N E U1  U2  M P;
a pê pê ele é esse oito;False;A P P L E S U8;
i ô esse quatro gê;False;I O S U4  G;
i ene tê ê ele i sete;False;I N T E L I U7;
eme ó tê ó gê nove;False;M O T O G U9;
esse dois dois eme dois dois cinco gê;False;S U2  U2  M U2  U2  U5  G;
bê eme dáblio um cinco setei;False;B M W U1  U5  U7  I;
efe ó erre dê um nove dois zero;False;F O R D U1  U9  U2  U0;
agá bê dois zero;False;H B U2  U0;
cê ó dois;False;C O U2;
bê um bê dois zê i ene cê ó;False;B U1  B U2  Z I N C O;
cá nove ele dois oito zê;False;K U9  L U2  U8  Z;
cá a tê i a;False;K A T I A;
cá á tê i á;False;K A T I A;
cê o erre o ene e ele efe a bê erre i cê i a ene o;False;C O R O N E L F A B R I C I A N O;
cê ó erre ó ene ê ele efe á bê erre i cê i á ene ó;False;C O R O N E L F A B R I C I A N O;
efe a bê i a ene o;False;F A B I A N O;
efe á bê i á ene ó;False;F A B I A N O;
eme a erre i a;False;M A R I A;
eme á erre i á;False;M A R I A;
jota u ele i a ene a;False;J U L I A N E;
jota u ele i á ene á;False;J U L I A N E;
eme a cê a e;False;M A C A E;
eme á cê á é;False;M A C A E;
i tê a pê e tê i ene i ene gê a;False;I T A P E T I N I N G A;
i tê á pê é tê i ene i ene gê á;False;I T A P E T I N I N G A;
jota a i ene e;False;J A I N E;
jota á i ene ê;False;J A I N E;
a u gê u esse tê o;False;A U G U S T O;
á u gê u esse tê ó;False;A U G U S T O;
esse a ene tê a bê a craseado erre bê a erre a dê o e esse tê e;False;S A N T A B A R B A R A D O E S T E;
esse á ene tê á bê á craseado erre bê á erre á dê ó ê esse tê é;False;S A N T A B A R B A R A D O E S T E;
ene a tê a ele i a;False;N A T A L I A;
ene á tê á ele i á;False;N A T A L I A;
tê a ene i a;False;T A N I A;
tê á ene i á;False;T A N I A;
cê a erre ele o esse;False;C A R L O S;
cê á erre ele ó esse;False;C A R L O S;
bê esse a bê e ele a;False;I S A B E L A;
be esse á bê é ele á;False;I S A B E L A;
pê e quê u i eme;False;P E Q U I M;
pê é quê u i eme;False;P E Q U I M;
