text;success;reference;tags
faz cinco anos;False;- YC05;u05
há um mês;False;- MC01;u01
três dias atrás;False;DC03 -;u03
paguei na semana passada;False;- DC07;
só depois de amanhã;False;+ DC02;
amanhã;False;+ DC01;
ontem;False;- DC01;
terça feira passada nove do onze de setenta e seis;False;W2 D09 M11 Y0076;u06
terça feira passada nove do onze de setenta e seis;False;W2 D09 M11 Y0076;u06
quinta que vem nove de novembro de dois mil e treze;False;W4 D09 M11 Y2000 Y0013;D09 M11 m02 u13
quinta que vem nove de novembro de dois mil e treze;False;W4 D09 M11 Y2000 Y0013;D09 M11 m02 u13
na última segunda-feira treze de agosto de noventa e nove;False;W1 D13 M08 Y0099;d09 u09
na última segunda-feira treze de agosto de noventa e nove;False;W1 D13 M08 Y0099;d09 u09
no próximo dia um de novembro de mil novecentos e cinco;False;D01 M11 Y1900 Y0005;D01 M11 m01 c09 u05
no próximo dia um de novembro de mil novecentos e cinco;False;D01 M11 Y1900 Y0005;D01 M11 m01 c09 u05
ontem;False;- DC01;
onze de março de mil novecentos e noventa e cinco;False;D11 M03 Y1900 Y0095;D11 M03 m01 c09 d09 u05
onze de março de mil novecentos e noventa e cinco;False;D11 M03 Y1900 Y0095;D11 M03 m01 c09 d09 u05
treze de outubro de mil novecentos e noventa e três;False;D13 M10 Y1900 Y0093;D13 M10 m01 c09 d09 u03
treze de outubro de mil novecentos e noventa e três;False;D13 M10 Y1900 Y0093;D13 M10 m01 c09 d09 u03
vinte e oito de dois mil e vinte e um;False;D20 M08 Y2000 Y0021;D28 m02 u21
vinte e oito de dois mil e vinte e um;False;D20 M08 Y2000 Y0021;D28 m02 u21
sete do três de noventa e nove;False;D07 M03 Y0099;d09 u09
sete do três de noventa e nove;False;D07 M03 Y0099;d09 u09
seis do oito de dois mil e dez;False;D06 M08 Y2000 Y0010;D06 M08 m02 u10
seis do oito de dois mil e dez;False;D06 M08 Y2000 Y0010;D06 M08 m02 u10
primeiro de janeiro de dois mil;False;D01 M01 Y2000;m02
primeiro de janeiro de dois mil;False;D01 M01 Y2000;m02
quinta um do doze de dois mil;False;W4 D01 M12 Y2000;W4 D01 M12 m02
quinta um do doze de dois mil;False;W4 D01 M12 Y2000;W4 D01 M12 m02
terça feira nove do onze de setenta e seis;False;W2 D09 M11 Y0076;u06
terça feira nove do onze de setenta e seis;False;W2 D09 M11 Y0076;u06
sábado seis de março de dois mil e cinco;False;W6 D06 M03 Y2000 Y0005;W6 D06 M03 m02 u05
sábado seis de março de dois mil e cinco;False;W6 D06 M03 Y2000 Y0005;W6 D06 M03 m02 u05
sexta-feira treze de outubro de dois mil e dezenove;False;W5 D13 M10 Y2000 Y0019;D13 M10 m02 u19
sexta-feira treze de outubro de dois mil e dezenove;False;W5 D13 M10 Y2000 Y0019;D13 M10 m02 u19
quinta nove de novembro de dois mil e treze;False;W4 D09 M11 Y2000 Y0013;W4 D09 M11 m02 u13
quinta nove de novembro de dois mil e treze;False;W4 D09 M11 Y2000 Y0013;W4 D09 M11 m02 u13
quarta-feira vinte e oito de setembro de dois mil e vinte;False;W3 D28 M09 Y2000 Y0020;D28 M09 m02 u20
quarta-feira vinte e oito de setembro de dois mil e vinte;False;W3 D28 M09 Y2000 Y0020;D28 M09 m02 u20
terça sete do sete de dois mil e sete;False;W2 D07 M07 Y2000 Y0007;W2 D07 M07 m02 u07
terça sete do sete de dois mil e sete;False;W2 D07 M07 Y2000 Y0007;W2 D07 M07 m02 u07
segunda-feira treze de agosto de noventa e nove;False;W1 D13 M08 Y0099;d09 u09
segunda-feira treze de agosto de noventa e nove;False;W1 D13 M08 Y0099;d09 u09
domingo vinte de novembro de vinte e dois;False;W7 D20 M11 Y0022;u22
domingo vinte de novembro de vinte e dois;False;W7 D20 M11 Y0022;u22
quatorze do três de oitenta e um;False;D14 M03 Y0081;d08 u01
quatorze do três de oitenta e um;False;D14 M03 Y0081;d08 u01
no dia um de novembro de mil novecentos e cinco;False;D01 M11 Y1900 Y0005;D01 M11 m01 c09 u05
no dia um de novembro de mil novecentos e cinco;False;D01 M11 Y1900 Y0005;D01 M11 m01 c09 u05
primeiro de junho de dois mil e vinte e um;False;D01 M06 Y2000 Y0021;m02 u21
primeiro de junho de dois mil e vinte e um;False;D01 M06 Y2000 Y0021;m02 u21
catorze de fevereiro de dois mil e vinte e um;False;D14 M02 Y2000 Y0021;D14 M02 m02 u21
catorze de fevereiro de dois mil e vinte e um;False;D14 M02 Y2000 Y0021;D14 M02 m02 u21
dezessete de dezembro de oitenta e sete;False;D17 M12 Y0087;d08 u07
dezessete de dezembro de oitenta e sete;False;D17 M12 Y0087;d08 u07
dois de junho de sessenta e cinco;False;D02 M06 Y0065;d06 u05
dois de junho de sessenta e cinco;False;D02 M06 Y0065;d06 u05
