text;success;reference;tags
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes I am;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no just english;False;false;
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes I would;True;true;true
yes I am;True;true;true
yes I am;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
I wouldn't care;False;true;
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
sure;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
sure;True;true;true
yes;True;true;true
yeah yes;False;true;
no;True;false;false
yes;True;true;true
yes;True;true;true
sure;True;true;true
could be no I'm not I'm not right now;False;false;
yes;True;true;true
yes;True;true;true
yes;True;true;true
no I don't;True;false;false
yes;True;true;true
sure;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
no I do not;True;false;false
yes I am;True;true;true
yes;True;true;true
I believe so;False;true;
nope;True;false;false
probably;False;true;
no;True;false;false
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
sure;True;true;true
yes;True;true;true
yes;True;true;true
sure yes;False;true;
no;True;false;false
yes I am;True;true;true
yes I am;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
certainly;False;true;
yes;True;true;true
yes I am;True;true;true
no I do not speak any language other than english at home;False;false;
yes I am calling from my home phone;False;true;
yes I am ready to start;False;true;
yes;True;true;true
no;True;false;false
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
I am;True;true;true
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
no I do not;True;false;false
yes;True;true;true
yes I would;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
yep sure;False;true;
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
I'd be happy to;False;true;
sure why not I enjoy this very much;False;true;
yes I speak spanish;False;true;
yes;True;true;true
yes;True;true;true
no;True;false;false
no;True;false;false
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes;True;true;true
yes I would;True;true;true
no I'm not;False;false;
yes;True;true;true
sure;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes;True;true;true
no;True;false;false
yes;True;true;true
yes I am;True;true;true
yes;True;true;true
