text;success;reference;tags
uma;False;U1;
sete;False;U7;D07
oito;False;U8;D08
zero;False;U0;D00
nove;False;U9;D09
sete;False;U7;D07
quatro;False;U4;D04
dois;False;U2;D02
meia meia;False;U6;D06
zero;False;U0;D00
meia;False;U6;D06
zero;False;U0;D00
duas;False;U2;
uma;False;U1;
quatro;False;U4;D04
dois;False;U2;D02
cinco;False;U5;D05
três;False;U3;D03
seis;False;U6;D06
seis;False;U6;D06
uma;False;U1;
duas;False;U2;
nove;False;U9;D09
duas;False;U2;
duas;False;U2;
três;False;U3;D03
seis;False;U6;D06
um;False;U1;D01
cinco;False;U5;D05
um;False;U1;D01
oito;False;U8;D08
seis;False;U6;D06
uma;False;U1;
dois;False;U2;D02
dois;False;U2;D02
um;False;U1;D01
cinco;False;U5;D05
uma;False;U1;
quatro;False;U4;D04
oito;False;U8;D08
um;False;U1;D01
um;False;U1;D01
uma;False;U1;
sete;False;U7;D07
meia;False;U6;D06
três;False;U3;D03
nove;False;U9;D09
uma;False;U1;
zero;False;U0;D00
quatro;False;U4;D04
oito;False;U8;D08
duas;False;U2;
dois dois;False;U2;D02
sete;False;U7;D07
sete;False;U7;D07
oito;False;U8;D08
meia;False;U6;D06
seis;False;U6;D06
sete;False;U7;D07
três;False;U3;D03
cinco;False;U5;D05
seis;False;U6;D06
seis;False;U6;D06
seis;False;U6;D06
cinco;False;U5;D05
seis;False;U6;D06
oito oito;False;U8;D08
cinco;False;U5;D05
uma;False;U1;
uma;False;U1;
meia;False;U6;D06
oito;False;U8;D08
um;False;U1;D01
duas;False;U2;
sete;False;U7;D07
um;False;U1;D01
um;False;U1;D01
dois;False;U2;D02
nove;False;U9;D09
cinco;False;U5;D05
dois;False;U2;D02
cinco;False;U5;D05
um;False;U1;D01
três;False;U3;D03
seis;False;U6;D06
quatro;False;U4;D04
duas;False;U2;
um;False;U1;D01
sete;False;U7;D07
meia;False;U6;D06
cinco;False;U5;D05
quatro;False;U4;D04
três;False;U3;D03
nove;False;U9;D09
duas;False;U2;
zero;False;U0;D00
zero;False;U0;D00
duas;False;U2;
quatro;False;U4;D04
dois;False;U2;D02
nove nove;False;U9;D09
uma;False;U1;
meia;False;U6;D06
duas;False;U2;
uma;False;U1;
quatro;False;U4;D04
três;False;U3;D03
três três;False;U3;D03
três;False;U3;D03
cinco;False;U5;D05
oito;False;U8;D08
nove;False;U9;D09
três;False;U3;D03
cinco;False;U5;D05
três;False;U3;D03
seis;False;U6;D06
sete;False;U7;D07
seis;False;U6;D06
seis;False;U6;D06
três;False;U3;D03
oito;False;U8;D08
duas;False;U2;
quatro;False;U4;D04
duas;False;U2;
uma;False;U1;
meia;False;U6;D06
duas;False;U2;
oito;False;U8;D08
um;False;U1;D01
um;False;U1;D01
zero;False;U0;D00
duas;False;U2;
um;False;U1;D01
quatro;False;U4;D04
três;False;U3;D03
zero;False;U0;D00
oito;False;U8;D08
um;False;U1;D01
dois;False;U2;D02
três;False;U3;D03
seis;False;U6;D06
nove;False;U9;D09
quatro;False;U4;D04
nove;False;U9;D09
zero;False;U0;D00
oito;False;U8;D08
dois;False;U2;D02
zero;False;U0;D00
três;False;U3;D03
quatro;False;U4;D04
oito;False;U8;D08
dois;False;U2;D02
nove;False;U9;D09
sete;False;U7;D07
dois;False;U2;D02
meia;False;U6;D06
zero;False;U0;D00
três;False;U3;D03
dois;False;U2;D02
zero;False;U0;D00
nove;False;U9;D09
duas;False;U2;
sete;False;U7;D07
meia;False;U6;D06
dois;False;U2;D02
nove;False;U9;D09
dois;False;U2;D02
um;False;U1;D01
duas;False;U2;
duas;False;U2;
três;False;U3;D03
sete;False;U7;D07
oito;False;U8;D08
um;False;U1;D01
oito;False;U8;D08
três;False;U3;D03
um;False;U1;D01
dois;False;U2;D02
dois;False;U2;D02
nove;False;U9;D09
um;False;U1;D01
zero;False;U0;D00
zero;False;U0;D00
uma;False;U1;
meia;False;U6;D06
sete;False;U7;D07
dois;False;U2;D02
nove;False;U9;D09
zero;False;U0;D00
cinco;False;U5;D05
três;False;U3;D03
duas;False;U2;
meia;False;U6;D06
nove nove;False;U9;D09
