text;success;reference;tags
march ninth;True;M03 D09;M03 D09
march ninth;True;M03 D09;M03 D09
march eighth;True;M03 D08;M03 D08
march eighth;True;M03 D08;M03 D08
march seventh;True;M03 D07;M03 D07
march seventh;True;M03 D07;M03 D07
march sixth;True;M03 D06;M03 D06
march sixth;True;M03 D06;M03 D06
march fifth;True;M03 D05;M03 D05
march fifth;True;M03 D05;M03 D05
may eleventh;True;M05 D11;M05 D11
may eleventh;True;M05 D11;M05 D11
may tenth;True;M05 D10;M05 D10
may tenth;True;M05 D10;M05 D10
may ninth;True;M05 D09;M05 D09
may ninth;True;M05 D09;M05 D09
march fourth;True;M03 D04;M03 D04
march fourth;True;M03 D04;M03 D04
may eighth;True;M05 D08;M05 D08
may eighth;True;M05 D08;M05 D08
may seventh;True;M05 D07;M05 D07
may seventh;True;M05 D07;M05 D07
may sixth;True;M05 D06;M05 D06
may sixth;True;M05 D06;M05 D06
may fifth;True;M05 D05;M05 D05
may fifth;True;M05 D05;M05 D05
may fourth;True;M05 D04;M05 D04
may fourth;True;M05 D04;M05 D04
may third;True;M05 D03;M05 D03
may third;True;M05 D03;M05 D03
may second;True;M05 D02;M05 D02
may second;True;M05 D02;M05 D02
may first;True;M05 D01;M05 D01
may first;True;M05 D01;M05 D01
march thirty-first;True;M03 D31;M03 D31
march thirty-first;True;M03 D31;M03 D31
march thirtieth;True;M03 D30;M03 D30
march thirtieth;True;M03 D30;M03 D30
march third;True;M03 D03;M03 D03
march third;True;M03 D03;M03 D03
march twenty-ninth;True;M03 D29;M03 D29
march twenty-nineth;False;M03 D29;
march twenty-eighth;True;M03 D28;M03 D28
march twenty-eighth;True;M03 D28;M03 D28
march twenty-seventh;True;M03 D27;M03 D27
march twenty-seventh;True;M03 D27;M03 D27
march twenty-sixth;True;M03 D26;M03 D26
march twenty-sixth;True;M03 D26;M03 D26
march twenty-fifth;True;M03 D25;M03 D25
march twenty-fifth;True;M03 D25;M03 D25
march twenty-fourth;True;M03 D24;M03 D24
march twenty-fourth;True;M03 D24;M03 D24
march twenty-third;True;M03 D23;M03 D23
march twenty-third;True;M03 D23;M03 D23
march twenty-second;True;M03 D22;M03 D22
march twenty-second;True;M03 D22;M03 D22
march twenty-first;True;M03 D21;M03 D21
march twenty-first;True;M03 D21;M03 D21
march twentieth;True;M03 D20;M03 D20
march twentieth;True;M03 D20;M03 D20
march second;True;M03 D02;M03 D02
march second;True;M03 D02;M03 D02
march nineteenth;True;M03 D19;M03 D19
march nineteenth;True;M03 D19;M03 D19
march eighteenth;True;M03 D18;M03 D18
march eighteenth;True;M03 D18;M03 D18
march seventeenth;True;M03 D17;M03 D17
march seventeenth;True;M03 D17;M03 D17
march sixteenth;True;M03 D16;M03 D16
march sixteenth;True;M03 D16;M03 D16
march fifteenth;True;M03 D15;M03 D15
march fifteenth;True;M03 D15;M03 D15
march fourteenth;True;M03 D14;M03 D14
march fourteenth;True;M03 D14;M03 D14
march thirteenth;True;M03 D13;M03 D13
march thirteenth;True;M03 D13;M03 D13
march twelfth;True;M03 D12;M03 D12
march twelfth;True;M03 D12;M03 D12
march eleventh;True;M03 D11;M03 D11
march eleventh;True;M03 D11;M03 D11
