text;success;reference;tags
twelve thousand nine hundred seventy nine;True;D1 U2 THOUSAND C9 D7 U9;D1 U2 THOUSAND C9 D7 U9
four thousand years;False;U4 THOUSAND;
forty five;True;D4 U5;D4 U5
twelve barrels;False;D1 U2;
thirty seven thousand eight hundred and eight;True;D3 U7 THOUSAND C8 U8;D3 U7 THOUSAND C8 U8
four days;False;U4;
one million;True;U1 MILLION;U1 MILLION
eight thousand six hundred and eleven hours;True;U8 THOUSAND C6 D1 U1;U8 THOUSAND C6 D1 U1
two hundred;True;C2;C2
five hundred inches;False;C5;
forty two;True;D4 U2;D4 U2
four thousand seven hundred forty two hours;True;U4 THOUSAND C7 D4 U2;U4 THOUSAND C7 D4 U2
seven hundred twelve;True;C7 D1 U2;C7 D1 U2
one hundred seconds;False;C1;
nine thousand four hundred and ninety five point one five;True;U9 THOUSAND C4 D9 U5 Z1 Z5;U9 THOUSAND C4 D9 U5 Z1 Z5
four hundred and eleven miles;True;C4 D1 U1;C4 D1 U1
one twelve;False;U1 D1 U2;
twenty five thousand one hundred and fifteen feet;False;D2 U5 THOUSAND C1 D1 U5;
sixteen;True;D1 U6;D1 U6
three hundred marks;False;C3;
eighty one thousand nine hundred eighty five;True;D8 U1 THOUSAND C9 D8 U5;D8 U1 THOUSAND C9 D8 U5
six thousand four hundred and sixteen lira;False;U6 THOUSAND C4 D1 U6;
fourteen thousand seven hundred and fifteen point one three;True;D1 U4 THOUSAND C7 D1 U5 Z1 Z3;D1 U4 THOUSAND C7 D1 U5 Z1 Z3
thirteen thousand eight hundred and eighty eight meters;False;D1 U3 THOUSAND C8 D8 U8;
fifty five;True;D5 U5;D5 U5
eighteen thousand thirteen kilometers;False;D1 U8 THOUSAND D1 U3;
sixty three thousand four hundred twenty nine;True;D6 U3 THOUSAND C4 D2 U9;D6 U3 THOUSAND C4 D2 U9
one minute;False;U1;
ninety six;True;D9 U6;D9 U6
twenty five grams;False;D2 U5;
one thousand kilograms;False;U1 THOUSAND;
three ninety five;False;U3 D9 U5;
thirteen;True;D1 U3;D1 U3
forty [SIL] gallons;False;D40;
one million;True;U1 MILLION;U1 MILLION
six hundred;True;C6;C6
ninety [SIL] lira;False;D90;
five thousand three hundred fifty three tons;True;U5 THOUSAND C3 D5 U3;U5 THOUSAND C3 D5 U3
eleven;True;D1 U1;D1 U1
ten [SIL] pounds;False;D10;
four hundred years;False;C4;
