text;success;reference;tags
zero five six seven five seven eight;False;U0 U5 U6 U7 U5 U7 U8;D00 D05 D06 D07 D05 D07 D08
three eight zero zero two five six nine two nine six three;False;U3 U8 U0 U0 U2 U5 U6 U9 U2 U9 U6 U3;D03 D08 D00 D00 D02 D05 D06 D09 D02 D09 D06 D03
seven eight zero zero four five zero nine six two;False;U7 U8 U0 U0 U4 U5 U0 U9 U6 U2;D07 D08 D00 D00 D04 D05 D00 D09 D06 D02
seven two one eight four six one one zero three one five;False;U7 U2 U1 U8 U4 U6 U1 U1 U0 U3 U1 U5;D07 D02 D01 D08 D04 D06 D01 D01 D00 D03 D01 D05
one six zero two two seven seven two eight zero seven eight;False;U1 U6 U0 U2 U2 U7 U7 U2 U8 U0 U7 U8;D01 D06 D00 D02 D02 D07 D07 D02 D08 D00 D07 D08
zero three five zero five seven one;False;U0 U3 U5 U0 U5 U7 U1;D00 D03 D05 D00 D05 D07 D01
four one eight zero zero two four seven three two zero five;False;U4 U1 U8 U0 U0 U2 U4 U7 U3 U2 U0 U5;D04 D01 D08 D00 D00 D02 D04 D07 D03 D02 D00 D05
zero six zero seven zero two six;False;U0 U6 U0 U7 U0 U2 U6;D00 D06 D00 D07 D00 D02 D06
three two six one six one four one one seven;False;U3 U2 U6 U1 U6 U1 U4 U1 U1 U7;D03 D02 D06 D01 D06 D01 D04 D01 D01 D07
eight four nine seven two one one six seven zero;False;U8 U4 U9 U7 U2 U1 U1 U6 U7 U0;D08 D04 D09 D07 D02 D01 D01 D06 D07 D00
six five five eight four nine two three seven nine;False;U6 U5 U5 U8 U4 U9 U2 U3 U7 U9;D06 D05 D05 D08 D04 D09 D02 D03 D07 D09
zero five three zero seven nine one;False;U0 U5 U3 U0 U7 U9 U1;D00 D05 D03 D00 D07 D09 D01
one two three four five six seven;False;U1 U2 U3 U4 U5 U6 U7;D01 D02 D03 D04 D05 D06 D07
zero two nine four one eight three five two two;False;U0 U2 U9 U4 U1 U8 U3 U5 U2 U2;D00 D02 D09 D04 D01 D08 D03 D05 D02 D02
seven seven five five eight one zero zero three seven;False;U7 U7 U5 U5 U8 U1 U0 U0 U3 U7;D07 D07 D05 D05 D08 D01 D00 D00 D03 D07
one three eight zero six one seven;False;U1 U3 U8 U0 U6 U1 U7;D01 D03 D08 D00 D06 D01 D07
zero five four one nine six eight;False;U0 U5 U4 U1 U9 U6 U8;D00 D05 D04 D01 D09 D06 D08
one zero eight six nine four eight;False;U1 U0 U8 U6 U9 U4 U8;D01 D00 D08 D06 D09 D04 D08
one three eight zero six two nine;False;U1 U3 U8 U0 U6 U2 U9;D01 D03 D08 D00 D06 D02 D09
zero five two four zero six six;False;U0 U5 U2 U4 U0 U6 U6;D00 D05 D02 D04 D00 D06 D06
three two six eight zero five two zero five three;False;U3 U2 U6 U8 U0 U5 U2 U0 U5 U3;D03 D02 D06 D08 D00 D05 D02 D00 D05 D03
seven three eight five three seven five nine five one;False;U7 U3 U8 U5 U3 U7 U5 U9 U5 U1;D07 D03 D08 D05 D03 D07 D05 D09 D05 D01
eight nine three one eight eight seven two five seven eight three;False;U8 U9 U3 U1 U8 U8 U7 U2 U5 U7 U8 U3;D08 D09 D03 D01 D08 D08 D07 D02 D05 D07 D08 D03
zero nine three four five five five three zero five seven eight;False;U0 U9 U3 U4 U5 U5 U5 U3 U0 U5 U7 U8;D00 D09 D03 D04 D05 D05 D05 D03 D00 D05 D07 D08
seven four seven zero two six four zero seven six five six;False;U7 U4 U7 U0 U2 U6 U4 U0 U7 U6 U5 U6;D07 D04 D07 D00 D02 D06 D04 D00 D07 D06 D05 D06
one zero seven eight one nine three;False;U1 U0 U7 U8 U1 U9 U3;D01 D00 D07 D08 D01 D09 D03
zero six nine nine three nine six eight zero one eight nine;False;U0 U6 U9 U9 U3 U9 U6 U8 U0 U1 U8 U9;D00 D06 D09 D09 D03 D09 D06 D08 D00 D01 D08 D09
one one five three eight four nine;False;U1 U1 U5 U3 U8 U4 U9;D01 D01 D05 D03 D08 D04 D09
three six six seven three four five seven eight nine eight three;False;U3 U6 U6 U7 U3 U4 U5 U7 U8 U9 U8 U3;D03 D06 D06 D07 D03 D04 D05 D07 D08 D09 D08 D03
one two eight six five four one;False;U1 U2 U8 U6 U5 U4 U1;D01 D02 D08 D06 D05 D04 D01
two zero seven eight nine two zero nine seven zero one three;False;U2 U0 U7 U8 U9 U2 U0 U9 U7 U0 U1 U3;D02 D00 D07 D08 D09 D02 D00 D09 D07 D00 D01 D03
zero five three nine zero zero three;False;U0 U5 U3 U9 U0 U0 U3;D00 D05 D03 D09 D00 D00 D03
five four five four one five six three three four four one;False;U5 U4 U5 U4 U1 U5 U6 U3 U3 U4 U4 U1;D05 D04 D05 D04 D01 D05 D06 D03 D03 D04 D04 D01
one two six seven seven eight five;False;U1 U2 U6 U7 U7 U8 U5;D01 D02 D06 D07 D07 D08 D05
one two zero eight eight five five one eight three;False;U1 U2 U0 U8 U8 U5 U5 U1 U8 U3;D01 D02 D00 D08 D08 D05 D05 D01 D08 D03
zero nine three three four zero six eight seven one seven four;False;U0 U9 U3 U3 U4 U0 U6 U8 U7 U1 U7 U4;D00 D09 D03 D03 D04 D00 D06 D08 D07 D01 D07 D04
nine six nine five two eight two zero five zero one four;False;U9 U6 U9 U5 U2 U8 U2 U0 U5 U0 U1 U4;D09 D06 D09 D05 D02 D08 D02 D00 D05 D00 D01 D04
two six one zero nine four one one zero zero six two;False;U2 U6 U1 U0 U9 U4 U1 U1 U0 U0 U6 U2;D02 D06 D01 D00 D09 D04 D01 D01 D00 D00 D06 D02
five seven six four one five one six two two;False;U5 U7 U6 U4 U1 U5 U1 U6 U2 U2;D05 D07 D06 D04 D01 D05 D01 D06 D02 D02
three eight four nine six eight four nine three seven;False;U3 U8 U4 U9 U6 U8 U4 U9 U3 U7;D03 D08 D04 D09 D06 D08 D04 D09 D03 D07
eight four eight nine nine five one nine three two;False;U8 U4 U8 U9 U9 U5 U1 U9 U3 U2;D08 D04 D08 D09 D09 D05 D01 D09 D03 D02
eight zero zero one five eight nine five one four two two;False;U8 U0 U0 U1 U5 U8 U9 U5 U1 U4 U2 U2;D08 D00 D00 D01 D05 D08 D09 D05 D01 D04 D02 D02
one one six nine nine two six;False;U1 U1 U6 U9 U9 U2 U6;D01 D01 D06 D09 D09 D02 D06
two eight three one five one two nine four four eight three;False;U2 U8 U3 U1 U5 U1 U2 U9 U4 U4 U8 U3;D02 D08 D03 D01 D05 D01 D02 D09 D04 D04 D08 D03
five four six three eight two two one five four;False;U5 U4 U6 U3 U8 U2 U2 U1 U5 U4;D05 D04 D06 D03 D08 D02 D02 D01 D05 D04
zero seven zero two four six zero;False;U0 U7 U0 U2 U4 U6 U0;D00 D07 D00 D02 D04 D06 D00
six seven nine four nine eight nine two six seven;False;U6 U7 U9 U4 U9 U8 U9 U2 U6 U7;D06 D07 D09 D04 D09 D08 D09 D02 D06 D07
zero seven nine three eight nine zero five six two;False;U0 U7 U9 U3 U8 U9 U0 U5 U6 U2;D00 D07 D09 D03 D08 D09 D00 D05 D06 D02
one eight six nine three seven four zero six four nine three;False;U1 U8 U6 U9 U3 U7 U4 U0 U6 U4 U9 U3;D01 D08 D06 D09 D03 D07 D04 D00 D06 D04 D09 D03
zero five two two five three three;False;U0 U5 U2 U2 U5 U3 U3;D00 D05 D02 D02 D05 D03 D03
zero eight nine seven five four eight;False;U0 U8 U9 U7 U5 U4 U8;D00 D08 D09 D07 D05 D04 D08
five five zero seven nine four six nine eight nine;False;U5 U5 U0 U7 U9 U4 U6 U9 U8 U9;D05 D05 D00 D07 D09 D04 D06 D09 D08 D09
one two seven six one nine one;False;U1 U2 U7 U6 U1 U9 U1;D01 D02 D07 D06 D01 D09 D01
one three four nine zero five six eight one zero;False;U1 U3 U4 U9 U0 U5 U6 U8 U1 U0;D01 D03 D04 D09 D00 D05 D06 D08 D01 D00
zero five two eight one two four;False;U0 U5 U2 U8 U1 U2 U4;D00 D05 D02 D08 D01 D02 D04
five four one one eight three four seven zero two six nine;False;U5 U4 U1 U1 U8 U3 U4 U7 U0 U2 U6 U9;D05 D04 D01 D01 D08 D03 D04 D07 D00 D02 D06 D09
eight zero nine three zero two four seven seven nine seven seven;False;U8 U0 U9 U3 U0 U2 U4 U7 U7 U9 U7 U7;D08 D00 D09 D03 D00 D02 D04 D07 D07 D09 D07 D07
one one one six four eight eight;False;U1 U1 U1 U6 U4 U8 U8;D01 D01 D01 D06 D04 D08 D08
five two two nine six zero four five three five;False;U5 U2 U2 U9 U6 U0 U4 U5 U3 U5;D05 D02 D02 D09 D06 D00 D04 D05 D03 D05
one two eight three four six nine;False;U1 U2 U8 U3 U4 U6 U9;D01 D02 D08 D03 D04 D06 D09
six eight three five one five four three one three;False;U6 U8 U3 U5 U1 U5 U4 U3 U1 U3;D06 D08 D03 D05 D01 D05 D04 D03 D01 D03
zero nine zero zero two two zero;False;U0 U9 U0 U0 U2 U2 U0;D00 D09 D00 D00 D02 D02 D00
eight four six four two seven seven six five eight;False;U8 U4 U6 U4 U2 U7 U7 U6 U5 U8;D08 D04 D06 D04 D02 D07 D07 D06 D05 D08
six nine four zero two four two seven two zero three one;False;U6 U9 U4 U0 U2 U4 U2 U7 U2 U0 U3 U1;D06 D09 D04 D00 D02 D04 D02 D07 D02 D00 D03 D01
five eight two three nine six three five seven two;False;U5 U8 U2 U3 U9 U6 U3 U5 U7 U2;D05 D08 D02 D03 D09 D06 D03 D05 D07 D02
one two eight nine zero five six;False;U1 U2 U8 U9 U0 U5 U6;D01 D02 D08 D09 D00 D05 D06
six zero one nine three six six zero four two one two;False;U6 U0 U1 U9 U3 U6 U6 U0 U4 U2 U1 U2;D06 D00 D01 D09 D03 D06 D06 D00 D04 D02 D01 D02
two one six eight nine zero one;False;U2 U1 U6 U8 U9 U0 U1;D02 D01 D06 D08 D09 D00 D01
zero two three zero zero five one five one one;False;U0 U2 U3 U0 U0 U5 U1 U5 U1 U1;D00 D02 D03 D00 D00 D05 D01 D05 D01 D01
seven five four eight four four eight one two zero;False;U7 U5 U4 U8 U4 U4 U8 U1 U2 U0;D07 D05 D04 D08 D04 D04 D08 D01 D02 D00
three four six six four six nine seven six nine;False;U3 U4 U6 U6 U4 U6 U9 U7 U6 U9;D03 D04 D06 D06 D04 D06 D09 D07 D06 D09
six eight five six eight nine nine two nine five five two;False;U6 U8 U5 U6 U8 U9 U9 U2 U9 U5 U5 U2;D06 D08 D05 D06 D08 D09 D09 D02 D09 D05 D05 D02
zero five eight four six two one;False;U0 U5 U8 U4 U6 U2 U1;D00 D05 D08 D04 D06 D02 D01
zero two zero eight three five eight eight six one eight eight;False;U0 U2 U0 U8 U3 U5 U8 U8 U6 U1 U8 U8;D00 D02 D00 D08 D03 D05 D08 D08 D06 D01 D08 D08
one two six six nine five nine;False;U1 U2 U6 U6 U9 U5 U9;D01 D02 D06 D06 D09 D05 D09
one one six eight eight three four;False;U1 U1 U6 U8 U8 U3 U4;D01 D01 D06 D08 D08 D03 D04
five six four three five one three zero four three;False;U5 U6 U4 U3 U5 U1 U3 U0 U4 U3;D05 D06 D04 D03 D05 D01 D03 D00 D04 D03
eight two one six zero one six five seven four five zero;False;U8 U2 U1 U6 U0 U1 U6 U5 U7 U4 U5 U0;D08 D02 D01 D06 D00 D01 D06 D05 D07 D04 D05 D00
four five two one two two six four one seven five six;False;U4 U5 U2 U1 U2 U2 U6 U4 U1 U7 U5 U6;D04 D05 D02 D01 D02 D02 D06 D04 D01 D07 D05 D06
nine four six nine eight one four three two six two nine;False;U9 U4 U6 U9 U8 U1 U4 U3 U2 U6 U2 U9;D09 D04 D06 D09 D08 D01 D04 D03 D02 D06 D02 D09
nine two three three one zero zero seven eight one;False;U9 U2 U3 U3 U1 U0 U0 U7 U8 U1;D09 D02 D03 D03 D01 D00 D00 D07 D08 D01
zero five zero six zero one zero four one two four one;False;U0 U5 U0 U6 U0 U1 U0 U4 U1 U2 U4 U1;D00 D05 D00 D06 D00 D01 D00 D04 D01 D02 D04 D01
six six four seven seven nine three three nine eight nine eight;False;U6 U6 U4 U7 U7 U9 U3 U3 U9 U8 U9 U8;D06 D06 D04 D07 D07 D09 D03 D03 D09 D08 D09 D08
nine seven one six eight nine six one three six;False;U9 U7 U1 U6 U8 U9 U6 U1 U3 U6;D09 D07 D01 D06 D08 D09 D06 D01 D03 D06
two one six eight nine zero one;False;U2 U1 U6 U8 U9 U0 U1;D02 D01 D06 D08 D09 D00 D01
seven six six four three five seven seven nine seven;False;U7 U6 U6 U4 U3 U5 U7 U7 U9 U7;D07 D06 D06 D04 D03 D05 D07 D07 D09 D07
one two four six five five eight;False;U1 U2 U4 U6 U5 U5 U8;D01 D02 D04 D06 D05 D05 D08
nine one one nine three nine seven five four three;False;U9 U1 U1 U9 U3 U9 U7 U5 U4 U3;D09 D01 D01 D09 D03 D09 D07 D05 D04 D03
zero five four five seven two seven;False;U0 U5 U4 U5 U7 U2 U7;D00 D05 D04 D05 D07 D02 D07
one one one seven eight five five;False;U1 U1 U1 U7 U8 U5 U5;D01 D01 D01 D07 D08 D05 D05
three six four one seven five three four five two three seven;False;U3 U6 U4 U1 U7 U5 U3 U4 U5 U2 U3 U7;D03 D06 D04 D01 D07 D05 D03 D04 D05 D02 D03 D07
