text;success;reference;tags
faz cinco anos;False;- YC05;D05
há um mês;False;- MC01;D01
três dias atrás;False;DC03 -;D03
paguei na semana passada;False;- DC07;
só depois de amanhã;False;+ DC02;
amanhã;False;+ DC01;
terça feira passada nove do onze;False;W2 D09 M11;D09 do M11
terça feira passada nove do onze;False;W2 D09 M11;D09 do M11
quinta que vem nove de novembro;False;W4 D09 M11;D09 M11
quinta que vem nove de novembro;False;W4 D09 M11;D09 M11
na última segunda-feira treze de agosto;False;W1 D13 M08;D13 M08
na última segunda-feira treze de agosto;False;W1 D13 M08;D13 M08
no próximo dia um de novembro;True;D01 M11;D01 M11
no próximo dia um de novembro;True;D01 M11;D01 M11
ontem;False;- DC01;
onze de março;True;D11 M03;D11 M03
onze de março;True;D11 M03;D11 M03
treze de outubro;True;D13 M10;D13 M10
treze de outubro;True;D13 M10;D13 M10
vinte do oito;False;D20 M08;D20 do M08
vinte do oito;False;D20 M08;D20 do M08
sete do três;False;D07 M03;D07 do M03
sete do três;False;D07 M03;D07 do M03
seis do oito;False;D06 M08;D06 do M08
seis do oito;False;D06 M08;D06 do M08
no ano novo;False;D01 M01;
no ano novo;False;D01 M01;
quinta um do doze;False;W4 D01 M12;W4 D01 do M12
quinta um do doze;False;W4 D01 M12;W4 D01 do M12
terça feira nove do onze;False;W2 D09 M11;W2 D09 do M11
terça feira nove do onze;False;W2 D09 M11;W2 D09 do M11
sábado seis de março;True;W6 D06 M03;W6 D06 M03
sábado seis de março;True;W6 D06 M03;W6 D06 M03
sexta-feira treze de outubro;False;W5 D13 M10;D13 M10
sexta-feira treze de outubro;False;W5 D13 M10;D13 M10
quinta nove de novembro;True;W4 D09 M11;W4 D09 M11
quinta nove de novembro;True;W4 D09 M11;W4 D09 M11
quarta-feira vinte e oito de setembro;False;W3 D28 M09;D28 M09
quarta-feira vinte e oito de setembro;False;W3 D28 M09;D28 M09
terça sete do sete;False;W2 D07 M07;W2 D07 do M07
terça sete do sete;False;W2 D07 M07;W2 D07 do M07
segunda-feira treze de agosto;False;W1 D13 M08;D13 M08
segunda-feira treze de agosto;False;W1 D13 M08;D13 M08
domingo vinte de novembro;True;W7 D20 M11;W7 D20 M11
domingo vinte de novembro;True;W7 D20 M11;W7 D20 M11
quatorze do três;False;D14 M03;D03
quatorze do três;False;D14 M03;D03
no dia um de novembro;True;D01 M11;D01 M11
no dia um de novembro;True;D01 M11;D01 M11
primeiro de junho;False;D01 M06;
primeiro de junho;False;D01 M06;
catorze de fevereiro;True;D14 M02;D14 M02
catorze de fevereiro;True;D14 M02;D14 M02
dezessete de dezembro;True;D17 M12;D17 M12
dezessete de dezembro;True;D17 M12;D17 M12
dois de junho;True;D02 M06;D02 M06
dois de junho;True;D02 M06;D02 M06
cinco de outubro;True;D05 M10;D05 M10
cinco de outubro;True;D05 M10;D05 M10
sete de setembro;True;D07 M09;D07 M09
