text;success;reference;tags
thirty eight dollars;True;D30 D08 cUSD;D30 D08 cUSD
eight hundred ninety nine dollars;True;C8 D90 D09 cUSD;C8 D90 D09 cUSD
eight hundred dollars;True;C8 cUSD;C8 cUSD
eleven dollars eleven cents;True;D11 cUSD X11 cUSD;D11 cUSD X11 cUSD
eighty one dollars;True;D80 D01 cUSD;D80 D01 cUSD
eight thousand dollars;True;D08 M cUSD;D08 M cUSD
seven dollars;True;D07 cUSD;D07 cUSD
ninety seven thousand one hundred and fifty eight dollars and forty three cents;True;D90 D07 M C1 D50 D08 cUSD X40 X03 cUSD;D90 D07 M C1 D50 D08 cUSD X40 X03 cUSD
seven dollars and eleven cents;True;D07 cUSD X11 cUSD;D07 cUSD X11 cUSD
eight hundred dollars;True;C8 cUSD;C8 cUSD
forty six dollars and ten cents;True;D40 D06 cUSD X10 cUSD;D40 D06 cUSD X10 cUSD
twelve thousand nine hundred and seventy seven dollars;True;D12 M C9 D70 D07 cUSD;D12 M C9 D70 D07 cUSD
one dollar;True;D01 cUSD;D01 cUSD
sixteen dollars and nine cents;True;D16 cUSD X09 cUSD;D16 cUSD X09 cUSD
five dollars;True;D05 cUSD;D05 cUSD
three dollars ten cents;True;D03 cUSD X10 cUSD;D03 cUSD X10 cUSD
nineteen thousand two hundred and eleven dollars;True;D19 M C2 D11 cUSD;D19 M C2 D11 cUSD
eighty dollars;True;D80 cUSD;D80 cUSD
seventeen thousand six hundred and ten dollars and sixteen cents;True;D17 M C6 D10 cUSD X16 cUSD;D17 M C6 D10 cUSD X16 cUSD
thirty six dollars;True;D30 D06 cUSD;D30 D06 cUSD
one thousand dollars;True;D01 M cUSD;D01 M cUSD
eight thousand four hundred eighty eight dollars and fifteen cents;True;D08 M C4 D80 D08 cUSD X15 cUSD;D08 M C4 D80 D08 cUSD X15 cUSD
three hundred nineteen dollars and twelve cents;True;C3 D19 cUSD X12 cUSD;C3 D19 cUSD X12 cUSD
sixteen thousand nine hundred and sixty eight dollars;True;D16 M C9 D60 D08 cUSD;D16 M C9 D60 D08 cUSD
thirteen thousand sixty dollars;True;D13 M D60 cUSD;D13 M D60 cUSD
four thousand fifty eight dollars and eight cents;True;D04 M D50 D08 cUSD X08 cUSD;D04 M D50 D08 cUSD X08 cUSD
six hundred and eighteen dollars;True;C6 D18 cUSD;C6 D18 cUSD
seven hundred and ten dollars;True;C7 D10 cUSD;C7 D10 cUSD
twenty seven dollars;True;D20 D07 cUSD;D20 D07 cUSD
nine thousand five hundred and seventeen dollars and eight cents;True;D09 M C5 D17 cUSD X08 cUSD;D09 M C5 D17 cUSD X08 cUSD
fifteen thousand one hundred and seventeen dollars;True;D15 M C1 D17 cUSD;D15 M C1 D17 cUSD
four thousand seven hundred thirteen dollars;True;D04 M C7 D13 cUSD;D04 M C7 D13 cUSD
eight hundred eighty four dollars and twenty two cents;True;C8 D80 D04 cUSD X20 X02 cUSD;C8 D80 D04 cUSD X20 X02 cUSD
thirteen dollars;True;D13 cUSD;D13 cUSD
six dollars;True;D06 cUSD;D06 cUSD
eighty four dollars sixty nine cents;True;D80 D04 cUSD X60 X09 cUSD;D80 D04 cUSD X60 X09 cUSD
nine dollars nineteen cents;True;D09 cUSD X19 cUSD;D09 cUSD X19 cUSD
seven dollars;True;D07 cUSD;D07 cUSD
eight dollars;True;D08 cUSD;D08 cUSD
one dollar;True;D01 cUSD;D01 cUSD
ten thousand five hundred and fifty nine dollars and fifteen cents;True;D10 M C5 D50 D09 cUSD X15 cUSD;D10 M C5 D50 D09 cUSD X15 cUSD
two hundred and sixty seven dollars;True;C2 D60 D07 cUSD;C2 D60 D07 cUSD
nineteen dollars and eighty seven cents;True;D19 cUSD X80 X07 cUSD;D19 cUSD X80 X07 cUSD
eight thousand dollars;True;D08 M cUSD;D08 M cUSD
sixteen dollars;True;D16 cUSD;D16 cUSD
six hundred and thirty two dollars and thirteen cents;True;C6 D30 D02 cUSD X13 cUSD;C6 D30 D02 cUSD X13 cUSD
nineteen thousand three hundred and sixteen dollars;True;D19 M C3 D16 cUSD;D19 M C3 D16 cUSD
five thousand eight hundred and sixteen dollars;True;D05 M C8 D16 cUSD;D05 M C8 D16 cUSD
seventy three thousand sixty eight dollars;True;D70 D03 M D60 D08 cUSD;D70 D03 M D60 D08 cUSD
sixty dollars;True;D60 cUSD;D60 cUSD
two dollars and eighteen cents;True;D02 cUSD X18 cUSD;D02 cUSD X18 cUSD
