text;success;reference;tags
pee i pee five one two tee u ef;False;P I P U5 U1 U2 T U F;U5 U1 U2
tee u i dee eight eight six seven o;False;T U I D U8 U8 U6 U7 O;U8 U8 U6 U7
pee ess u seven seven six six eight nine o five;False;P S U U7 U7 U6 U6 U8 U9 O U5;
jay a wy seven eight six five;False;J A Y U7 U8 U6 U5;U7 U8 U6 U5
seven six five eight nine zero pee o tee;False;U7 U6 U5 U8 U9 U0 P O T;U7 U6 U5 U8 U9 U0
kay i en four four three two one;False;K I N U4 U4 U3 U2 U1;U4 U4 U3 U2 U1
eight nine o u tee cee o o;False;U8 U9 O U T C O O;U8 U9
aitch i tee eight eight nine nine zero zero;False;H I T U8 U8 U9 U9 U0 U0;U8 U8 U9 U9 U0 U0
nine six three two five eight u tee i;False;U9 U6 U3 U2 U5 U8 U T I;U9 U6 U3 U2 U5 U8
a a ef eight nine zero seven six;False;A A F U8 U9 U0 U7 U6;U8 U9 U0 U7 U6
aitch u bee nine zero tee i;False;H U B U9 U0 T I;U9 U0
tee five six two three eight nine en u tee;False;T U5 U6 U2 U3 U8 U9 N U T;U5 U6 U2 U3 U8 U9
u cee el a seven seven five six six nine;False;U C L A U7 U7 U5 U6 U6 U9;U7 U7 U5 U6 U6 U9
en u bee six five five;False;N U B U6 U5 U5;U6 U5 U5
pee u wy cee i tee eight hundred seventy six;False;P U Y C I T C8 D7 U6;C8 D7 U6
pee twelve tee i eight nine zero;False;P D1 U2 T I U8 U9 U0;U8 U9 U0
one hundred forty five six nine u tee cee;False;C1 D4 U5 U6 U9 U T C;C1 D4 U5 U6 U9
em i tee five nine o;False;M I T U5 U9 O;U5 U9
pee o six six five four eight;False;P O U6 U6 U5 U4 U8;U6 U6 U5 U4 U8
pee i en three three seven three;False;P I N U3 U3 U7 U3;U3 U3 U7 U3
kay i en forty five sixty three tee;False;K I N D4 U5 D6 U3 T;D4 U5 D6 U3
ess ess one seven nine six three two five eight nine;False;S S U1 U7 U9 U6 U3 U2 U5 U8 U9;U1 U7 U9 U6 U3 U2 U5 U8 U9
ess ess one five six nine eight seventy four fifty six;False;S S U1 U5 U6 U9 U8 D7 U4 D5 U6;U1 U5 U6 U9 U8 D7 U4 D5 U6
tee i dee forty four five six two;False;T I D D4 U4 U5 U6 U2;D4 U4 U5 U6 U2
em cee eleven twenty three fifty six;False;M C D1 U1 D2 U3 D5 U6;D1 U1 D2 U3 D5 U6
tee u i dee one four five;False;T U I D U1 U4 U5;U1 U4 U5
em ess u nine six three;False;M S U U9 U6 U3;U9 U6 U3
tee u eight nine zero;False;T U U8 U9 U0;U8 U9 U0
aitch u em o ar;False;H U M O R;
bee u ar en tee;False;B U R N T;
ess aitch ar i em pee;False;S H R I M P;
e ex pee e cee tee ess;False;E X P E C T S;
o em i tee tee i en gee;False;O M I T T I N G;
tee aitch u em pee;False;T H U M P;
pee ar o em pee tee el wy;False;P R O M P T L Y;
pee e tee tee wy;False;P E T T Y;
el o cee kay double u o o dee;False;L O C K W O O D;
a en wy aitch o double u;False;A N Y H O W;
double u i el el wy;False;W I L L Y;
e ex pee a en dee i en gee;False;E X P A N D I N G;
cee el a em pee;False;C L A M P;
ess u ar vee i vee e dee;False;S U R V I V E D;
u pee el i ef tee;False;U P L I F T;
u en pee a cee kay;False;U N P A C K;
bee a cee kay gee ar o u en dee;False;B A C K G R O U N D;
ess a vee i en gee ess;False;S A V I N G S;
gee i ef tee e dee;False;G I F T E D;
double u aitch i cee aitch;False;W H I C H;
a en wy double u a wy ess;False;A N Y W A Y S;
tee e ex tee ess;False;T E X T S;
